both,lidar,radar
0.0828043,0.0828043,0.0828043
0.000386525,0.000386525,0.000386525
17.6395,17.6395,17.6395
1,1,1
0.00429471,0.12388,0.00429471
0.000157497,0.00045889,0.000157497
1.51196,8.81894,1.51196
1.02682,0.498205,1.02682
0.000107306,8.58E-05,1.10E-05
4.24E-06,0.00339106,0.00265881
2.66238,1.36172,1.00834
0.195918,0.133544,0.68112
0.0150957,0.00180711,0.0228799
0.000342906,0.00439865,0.00282937
0.0451168,1.02175,0.0787982
0.777383,0.10187,0.756181
0.00810878,0.000396469,0.0218584
0.000663174,3.33E-05,7.69E-05
0.00601864,0.282384,0.0629068
0.457983,0.0123867,0.599959
0.00351821,0.00180046,0.010688
6.40E-05,7.89E-08,0.000212825
0.00238434,0.23561,0.000633057
0.113149,0.00959136,0.186919
0.00149995,0.000708223,0.00938528
0.000513121,0.000168226,4.10E-05
0.00662111,0.0887521,0.000527148
0.0741321,0.0155283,0.156976
0.00199886,0.00150764,0.00964597
0.00061775,0.000318614,0.000143706
0.000144629,0.0778647,0.00222698
0.0463512,0.0125729,0.102762
0.00120321,0.000224095,0.00899092
0.00097089,0.000406292,0.000691384
0.000699833,0.0203615,0.0019434
0.0318845,0.00894111,0.0884799
0.000731991,0.000439816,0.00497499
0.000666464,0.000551316,0.000454026
0.000843241,0.0184466,8.62E-07
0.0117847,0.00715936,0.032469
0.000903252,0.000317209,0.00451646
0.000689147,0.000237265,0.00082781
0.00034983,7.34E-06,1.89E-06
0.00811352,0.0018212,0.0276946
0.000361596,0.000295111,0.00170112
1.64E-05,0.000277176,7.50E-06
0.000988681,4.25E-06,0.000984558
0.000487217,0.00123831,0.000127942
1.34E-05,0.000234734,0.00145282
0.000235916,0.00115507,9.15E-06
0.00330037,0.00741469,0.000944027
0.0101863,0.012854,2.43E-05
6.13E-06,0.000357855,0.000511152
0.000140694,0.00147208,9.59E-06
0.00526296,0.0069896,0.00381823
0.00557404,0.0133258,3.63E-05
6.66E-05,0.000430132,0.000355402
0.000251132,0.000971067,6.45E-06
0.00558905,0.00597621,0.00364534
0.00665409,0.00764107,0.000149967
5.54E-05,0.000567876,0.000227152
0.000169887,0.00119517,2.78E-06
0.00136469,0.00571334,0.000954018
0.00436703,0.00833451,0.000544392
9.75E-05,0.000751864,0.000172026
6.74E-06,8.94E-06,9.82E-08
4.06E-06,0.00435543,0.000946174
1.26E-05,0.00011797,0.000870903
0.000125209,0.000890778,0.000142091
1.51E-06,1.06E-05,2.10E-05
0.00101652,0.00400414,0.000258529
0.000655202,1.20E-05,0.00265582
7.17E-07,3.00E-05,0.000153134
3.12E-05,7.01E-06,5.12E-05
8.46E-05,0.00133726,0.000216847
0.00196243,0.000357784,0.0033002
4.87E-09,5.09E-05,0.000170803
6.04E-05,1.36E-05,9.57E-05
0.000526999,0.00134232,0.000465513
0.002263,0.000671686,0.00346241
8.48E-05,0.000695548,0.000136617
8.41E-05,2.23E-05,0.00015897
0.0014381,0.00682715,0.000489536
0.00277841,0.00102885,0.00423676
2.66E-05,0.000889109,0.000220733
0.000643164,4.06E-05,0.00133847
2.98E-05,0.00670353,0.000131969
0.0109216,0.00153528,0.0166774
1.92E-05,0.000519214,0.000227282
0.000110625,0.00011275,0.00178909
4.89E-05,0.00292801,0.000100083
0.00250994,1.08E-05,0.0180413
8.27E-06,0.00062368,0.000213111
8.49E-05,0.000107121,0.000955733
0.000252941,0.0029474,0.000229765
0.00216133,2.46E-05,0.00931326
4.70E-07,0.000168318,0.000225765
0.000201455,8.38E-06,0.00124102
0.000267631,0.000302157,0.00018069
0.00380996,0.00213764,0.0105868
5.37E-06,0.000184874,0.000214015
0.000490813,2.83E-05,0.00176108
0.00238206,0.000344121,0.00213784
0.00754668,0.00289708,0.0138648
0.000112615,4.87E-05,0.000275539
0.000156445,3.07E-06,0.00222556
0.00342485,0.0013036,0.00191556
0.00275585,0.00126682,0.0154207
3.96E-06,7.39E-05,1.90E-06
0.000247785,6.18E-08,0.00193765
8.82E-05,0.00113871,0.000398393
0.00348419,0.00191155,0.0119399
3.83E-06,7.62E-05,1.19E-07
0.000669466,0.000345962,0.00238596
0.000120129,0.000772285,0.000459327
0.00775476,0.00882289,0.0135191
1.02E-05,9.83E-05,1.17E-07
0.000846361,0.000535136,0.00200718
0.000411075,0.000644673,0.000242355
0.00914523,0.0102777,0.0111297
4.19E-05,0.000198282,1.55E-07
0.001074,0.000876706,0.00244959
0.000496264,0.000968636,0.00017594
0.0101332,0.0128096,0.0127529
7.65E-06,0.000235707,2.45E-06
0.000564533,0.00122129,0.000382394
0.000904566,0.000809957,0.00111972
0.00423532,0.0145581,0.00165268
1.99E-05,0.000313115,1.04E-05
0.000429582,0.000777353,0.000462036
0.000646928,0.000836789,0.00124263
0.00309168,0.00897551,0.00244033
6.14E-06,0.000353939,0.000260924
0.000482674,0.00104811,0.000404746
0.0012624,0.000679536,0.00161819
0.00372921,0.0105686,0.00274866
4.19E-07,0.000361248,0.000322234
0.000616126,0.00105893,0.00051325
0.000964287,0.000444926,0.00178204
0.00477002,0.0097192,0.00374986
3.28E-05,0.000389242,0.000607823
0.000441201,0.00138319,6.54E-05
0.00173186,0.000327324,0.00199863
0.00331845,0.0114187,0.00123211
0.00011103,4.50E-07,0.000706403
6.56E-05,0.000245299,9.92E-05
0.00222153,0.00161254,0.00220413
0.000520395,0.00205493,0.00196759
9.59E-05,7.29E-06,0.000679971
1.80E-05,0.000321855,1.58E-05
5.91E-05,0.00181674,3.24E-05
0.000493828,0.00297465,0.000687874
2.83E-05,1.99E-05,0.000680403
1.90E-06,0.000107256,5.67E-06
2.10E-06,0.000431993,7.70E-05
0.000383101,0.00134241,0.00127936
6.47E-06,1.10E-05,0.000509187
2.95E-07,0.000150996,4.76E-05
0.0010414,0.000567888,0.000898735
0.000768579,0.00212709,0.0014222
3.60E-06,8.15E-05,0.00043587
5.20E-05,0.000252387,2.21E-05
0.00108281,7.38E-05,0.000683461
0.00259264,0.00345206,0.00223243
4.91E-06,7.09E-05,0.000709672
0.000134922,0.000355518,4.55E-05
5.78E-07,0.000146845,2.31E-05
0.00399323,0.0046376,0.00508434
6.56E-05,0.000119495,0.00070986
0.000250899,0.000368275,0.000109184
0.000233447,0.00417737,7.30E-05
0.00578665,0.00480669,0.00649046
4.04E-05,0.000198376,0.000482022
0.000451505,0.00051333,0.000397949
2.08E-05,0.00460575,4.79E-07
0.00825129,0.0061886,0.00999802
1.72E-05,5.42E-05,0.00047654
0.000518715,0.000543879,0.000621464
1.41E-05,0.00201901,2.33E-05
0.00836579,0.00631217,0.0118881
5.20E-05,9.21E-05,0.000520414
0.000515615,0.000742882,0.000212944
0.00100398,0.00237829,0.000928105
0.00729394,0.00787903,0.00753129
6.66E-05,6.79E-05,0.000584268
0.00095432,0.0011761,0.000360638
0.0012442,0.00183678,0.00120034
0.0111012,0.011037,0.00922637
0.000130137,0.000107612,0.000670815
0.00135487,0.00155195,0.000892545
0.00302693,0.00221845,0.00294174
0.0131922,0.0130338,0.012863
4.06E-05,1.05E-05,0.000807928
0.000804679,0.000885602,0.00125626
0.0018602,9.11E-05,0.00342934
0.00718376,0.00695173,0.014997
0.000135788,6.92E-06,0.000985276
0.000725965,0.00114576,0.000374458
0.00473445,0.000210805,0.0056581
0.00584695,0.00860154,0.0083692
6.58E-05,9.56E-05,0.0012193
0.000377315,0.000581327,0.00057367
0.00346798,2.00E-06,0.00635868
0.0029516,0.00416328,0.0101556
2.37E-07,9.28E-05,0.000242774
0.000272718,0.000747178,1.96E-07
4.05E-05,1.64E-05,0.000149831
0.00286969,0.00548687,0.00441863
1.17E-05,6.44E-06,0.00026135
0.000197079,0.000387339,9.70E-06
0.000243461,0.00164652,0.000316093
0.00244886,0.00288726,0.0057743
8.00E-06,2.17E-05,0.000181026
0.000256291,0.000502671,3.55E-05
0.00018404,0.00212091,0.000246859
0.0033876,0.00401258,0.00704106
1.18E-05,6.15E-05,0.000202968
8.13E-05,0.000137008,0.000106459
0.000296767,0.00289622,0.000467541
0.00167438,0.00131442,0.00868885
6.08E-05,0.000111879,0.000379721
0.000118513,0.000186476,0.000215489
0.00217653,0.00355104,0.00289863
0.00217299,0.00211133,0.00949402
4.11E-05,1.84E-06,0.00048972
0.000331436,0.00046205,0.000385605
0.00218617,0.00111324,0.00357901
0.00468645,0.00486851,0.0113509
7.65E-05,9.92E-06,0.00036643
0.00023856,0.00062621,1.54E-05
0.00346297,0.00157937,0.00384463
0.0035087,0.00625161,0.00460738
7.25E-05,1.47E-05,0.00049332
2.82E-05,0.000115284,7.08E-08
0.00318896,0.00180972,0.00467141
0.00107671,0.00161787,0.00594804
7.58E-05,3.69E-05,0.000384136
1.53E-05,0.000166268,0.000189629
0.00129666,0.00242664,0.00170961
0.00145515,0.00246302,0.00419328
9.03E-05,9.96E-05,0.000468997
1.67E-05,2.24E-07,0.00010394
0.0014963,0.00356158,0.0023319
0.000417847,0.000374477,0.00545772
0.000111934,0.000169791,0.000556921
2.72E-09,2.81E-06,5.05E-05
0.00143907,0.00444682,0.0026474
0.00152475,0.000826669,0.0108963
0.000169888,0.000286169,0.000683405
1.77E-07,9.69E-08,0.000155626
0.00207642,0.00565088,0.00345012
0.0017031,0.000805472,0.0127704
0.000172206,0.000428384,0.000668317
5.36E-06,1.80E-06,0.000159834
0.000692053,0.00680342,0.00151782
0.00324976,0.00140613,0.014144
0.000158675,0.000386895,0.000771408
2.76E-05,5.26E-05,0.00034918
0.000782259,0.00583814,0.0021868
0.00140131,0.000335477,0.0161874
0.000236266,0.000552572,0.000949617
1.13E-05,3.66E-05,0.000323758
0.00153486,0.00707871,0.00336492
0.00208417,0.000743553,0.0153989
0.000183493,0.000250517,0.0011333
3.21E-05,4.98E-05,0.00058812
0.00151486,0.00369332,0.00436709
0.00166313,0.000845866,0.0174551
0.000110936,0.000358465,0.000735616
8.69E-06,2.84E-05,0.000285162
3.80E-06,0.00476589,0.000484662
0.00358829,0.00141979,0.0169684
4.93E-05,0.000194735,0.000796834
0.000182043,0.000265056,0.000550239
8.45E-09,0.00304107,0.000946474
0.000980507,0.000135633,0.0190369
4.93E-05,0.000282518,0.00085089
7.73E-05,0.00023599,0.0012655
1.88E-05,0.00407771,0.00129132
0.00237408,0.000402482,0.0237133
1.84E-05,9.46E-05,0.000959116
0.000142024,0.000265614,0.00186513
3.68E-05,0.00206749,0.0020233
0.00166762,0.000497667,0.0259967
1.44E-05,0.000147454,0.000974494
3.06E-05,0.00022085,0.00339564
2.33E-05,0.00298597,0.0018847
0.00390496,0.00091867,0.032763
3.85E-05,0.000209736,0.00111483
7.47E-08,5.14E-05,0.00449845
0.000351465,0.00391567,0.0027872
0.005689,0.00286476,0.0352445
2.94E-05,0.000314297,0.000792249
1.15E-05,1.81E-05,0.00289402
9.22E-05,0.00518615,0.00130038
0.00749188,0.00371419,0.0278916
3.75E-05,0.000369302,0.000899509
1.25E-06,6.51E-05,0.00383557
0.000286547,0.00573982,0.00210352
0.00493943,0.0024533,0.0300941
4.59E-05,0.000533594,0.000620264
8.97E-08,2.87E-05,0.00160032
0.000560324,0.00730737,0.00204421
0.0051541,0.00320184,0.0187597
7.19E-06,0.000162104,0.000742047
9.12E-05,0.00018194,0.00218445
0.000373319,0.00320567,0.00305947
0.00176801,0.00115718,0.0205185
5.10E-06,0.000247048,0.000493965
6.08E-05,0.000132855,0.00106333
0.000251584,0.00446446,0.0019413
0.00257785,0.00166042,0.0153246
7.92E-06,9.80E-05,0.000601905
3.11E-06,1.08E-05,0.00150016
0.000709327,0.0027736,0.00297087
0.00428715,0.00395414,0.0168299
2.84E-05,0.00016181,0.000571342
2.28E-07,7.84E-10,0.000858817
0.00180924,0.00399653,0.00396762
0.00452083,0.00475806,0.0126559
0.000162872,0.000554671,0.000737266
3.77E-05,1.49E-05,0.00121678
0.00406667,0.00875893,0.00542209
0.00638525,0.0056889,0.0139366
0.000101664,0.000802689,0.000349983
0.000143619,6.00E-05,0.00116283
0.00149741,0.0108575,0.00211746
0.00962989,0.00655606,0.015201
2.65E-05,0.000281269,0.000447645
6.70E-08,9.30E-06,0.00161421
0.000938039,0.00498341,0.00325602
0.00345864,0.00220646,0.0164613
4.59E-05,0.000418636,0.000482844
1.61E-05,2.99E-07,0.0016725
0.00157605,0.00666349,0.00418936
0.00443512,0.00272368,0.0158021
6.70E-06,4.72E-05,0.000642359
4.36E-07,5.33E-07,0.00221329
0.00131874,0.00210655,0.00576536
0.00275177,0.00244297,0.0169514
7.31E-06,8.84E-05,0.000409174
1.60E-05,3.48E-06,0.00188164
0.00194617,0.0032876,0.00571223
0.00337962,0.00292702,0.0145014
5.06E-06,1.53E-07,0.00058364
0.000124526,0.00015715,0.00242487
0.00265246,0.0013702,0.00756313
0.00520935,0.00626587,0.0154797
1.14E-05,6.37E-06,0.000579277
0.00027569,0.000272956,0.0029363
0.00229813,0.00237513,0.0058907
0.00738388,0.00690832,0.0179699
0.000113535,0.000291565,0.0007865
0.000375531,0.000262101,0.00367981
0.0046455,0.00839918,0.00780542
0.00758144,0.00562154,0.0188849
0.000124239,0.00047683,0.000467824
0.000558163,0.000397373,0.00233792
0.00331898,0.0106623,0.00482013
0.00935954,0.00614599,0.0152276
0.000237073,0.000881038,0.000638279
0.000376825,0.000178481,0.00295077
0.00468111,0.0147743,0.00660174
0.00600316,0.00291517,0.0159428
0.000205745,0.0012866,0.000325023
0.00059726,0.000258042,0.00224045
0.00254133,0.0177342,0.00359009
0.00848919,0.00324279,0.0146798
0.000220483,0.00108439,0.000450149
0.00036139,0.000127128,0.00282893
0.00295262,0.0142467,0.00517612
0.00475896,0.00156417,0.0152409
0.000234629,0.00152086,3.05E-05
0.000326701,0.000175769,0.000200979
0.00373219,0.017196,0.00363872
0.00346359,0.00176248,0.00438061
0.000187861,0.000922916,7.75E-05
9.30E-05,3.06E-05,0.000304957
0.0035006,0.01057,0.00525124
0.000972172,0.000334434,0.00464758
0.000138102,0.00127066,8.59E-06
0.000168451,4.19E-05,0.000262617
0.00160937,0.013174,0.00267288
0.0022523,0.000408795,0.00584061
0.000155573,0.00108575,3.36E-05
2.95E-05,3.02E-06,0.000399057
0.00206188,0.010875,0.00409226
0.00057643,6.07E-06,0.00604407
0.000140629,0.00146559,4.73E-05
1.74E-05,3.27E-06,5.30E-05
0.00196032,0.0135286,0.00242845
0.000461542,1.10E-06,0.00184251
0.000159181,0.000882888,1.66E-05
7.77E-06,1.47E-06,2.57E-05
0.0027237,0.00814184,0.00379556
0.000251808,2.66E-06,0.00191774
4.77E-05,0.00118117,0.000311339
3.85E-05,1.20E-06,9.97E-05
0.000184767,0.0104785,0.000309802
0.00163451,5.71E-06,0.00346448
0.00014044,0.00142655,0.000267896
1.87E-05,2.77E-05,4.88E-05
0.00105864,0.0120151,0.000905771
0.00105892,7.23E-05,0.00348307
0.000174349,0.00187938,0.000205155
3.01E-05,3.19E-05,2.01E-05
0.00276249,0.0147975,0.00315298
0.000665733,6.94E-05,0.00232209
0.000122211,0.000984626,0.00012423
8.03E-06,0.000123064,4.25E-06
0.00254967,0.00738275,0.00468225
3.08E-07,0.000475097,0.00228155
6.87E-05,0.00128282,0.000136848
1.75E-06,0.000147108,4.62E-05
0.000516457,0.00960928,0.00218881
0.000766129,0.000492778,0.00575881
0.000134282,0.00114375,8.11E-05
7.23E-09,0.000137759,0.000110896
0.00143206,0.00838791,0.00348565
0.000445534,0.000364817,0.00557994
0.000178412,0.00148449,2.45E-05
1.68E-05,0.000160117,0.000867426
0.00146255,0.010729,0.0057811
0.00124196,0.000406159,0.00982442
0.000143359,0.000626841,8.14E-05
2.85E-05,1.46E-05,0.00117077
0.00184292,0.004367,0.00775225
0.000979473,1.82E-05,0.00944664
0.000140388,0.000813267,2.77E-05
6.19E-05,1.32E-05,0.000948692
0.00188313,0.00609614,0.00671782
0.00127042,6.08E-06,0.00816006
0.000153918,0.00068863,9.26E-05
5.90E-06,5.71E-05,0.00123261
0.00233791,0.005369,0.00880012
0.000247537,0.00010407,0.00771392
0.000158199,0.00090442,0.000199381
4.15E-05,6.54E-05,0.00189658
0.00149348,0.00723798,0.00779638
0.00109406,0.000157627,0.0107054
0.000113568,0.00052815,0.000351709
1.03E-06,9.19E-05,0.00234651
0.00150282,0.00442287,0.00998781
0.000149375,0.000304081,0.0100583
9.54E-05,0.000701621,0.000181206
1.28E-05,0.000109819,0.001932
0.00113273,0.00610624,0.00774373
0.000452103,0.00041511,0.0087988
1.51E-05,0.00014467,0.000326856
5.73E-06,0.000100069,0.00233785
0.0006586,0.00167142,0.00988621
1.54E-06,0.000384137,0.00811245
1.90E-05,0.000204601,0.000598245
4.42E-07,0.000121473,0.00352961
0.000904095,0.00274591,0.0114131
5.37E-05,0.000534947,0.00977241
8.53E-05,0.000357938,0.000897719
5.85E-07,8.76E-05,0.00409337
0.00230565,0.00468066,0.0139082
1.68E-05,0.000377175,0.00893293
5.11E-05,0.000507615,0.000769638
3.97E-05,0.000107893,0.00422673
0.00011859,0.00632753,0.00579798
0.00190053,0.00055405,0.0148464
0.000150086,0.000715073,0.00100477
8.57E-05,2.62E-05,0.00499745
0.00100847,0.00821708,0.00758559
0.00181551,0.000117297,0.0136508
0.000183415,0.000987159,0.00127286
0.000178164,3.31E-05,0.00567209
0.00138012,0.0102785,0.00888188
0.00220887,0.000241885,0.0128278
0.000123454,0.00053758,0.00163985
0.000104426,7.80E-06,0.0064823
0.00127976,0.00586811,0.0109834
0.000777218,0.000108974,0.0116076
0.00013742,0.000738408,0.00117277
0.000154165,1.18E-05,0.00516701
0.00173815,0.00758037,0.00995211
0.000679185,0.000246804,0.00755934
0.000130168,0.000379488,0.00154743
0.000179661,2.30E-05,0.00574213
0.00215575,0.00425969,0.0120886
0.000366605,7.84E-06,0.00656189
0.000151803,0.000524949,0.00153299
0.000280913,2.28E-05,0.00558586
0.00159827,0.00568682,0.00938926
0.000986635,9.30E-06,0.00715405
9.27E-05,0.000281603,0.00194266
0.000156038,1.85E-05,0.00616152
0.00134662,0.00346818,0.0113893
0.000111884,9.06E-05,0.00610705
7.04E-05,0.000395913,0.00112366
0.000240018,1.34E-05,0.00413982
0.000119609,0.00471533,0.00400237
0.00133237,0.000250027,0.00700678
1.38E-06,0.000102774,0.00135303
5.44E-05,3.92E-06,0.00463605
2.22E-06,0.00185746,0.00530225
2.35E-05,0.00119755,0.00589792
8.03E-06,0.000155842,0.00134005
4.25E-05,1.49E-05,0.00384544
0.000443131,0.00275808,0.00782091
0.000174064,0.00170342,0.00218709
1.99E-05,9.23E-06,0.00168936
9.69E-06,7.31E-07,0.00408588
0.000102488,0.0001819,0.00949766
0.000841658,0.000893964,0.00156448
2.02E-05,4.52E-06,0.00141633
1.01E-05,6.70E-07,0.00354034
0.000195838,0.000509668,0.0081215
0.000795378,0.001371,0.00100041
5.00E-07,6.48E-06,0.00178078
5.86E-06,2.89E-06,0.00367946
0.000877825,0.00160945,0.00973734
0.00106551,0.00170774,0.000578552
2.39E-06,2.26E-05,0.00194436
3.77E-05,1.56E-05,0.00456123
0.000168256,0.00236524,0.00658028
2.87E-05,0.00238334,0.00238373
1.04E-05,6.24E-05,0.00232104
9.22E-05,7.14E-06,0.00483229
0.00102868,0.00339647,0.00796309
9.24E-06,0.00103743,0.00166386
4.80E-05,0.000120475,0.00333723
0.000104042,7.34E-07,0.00492519
0.00139475,0.00438744,0.00903842
2.30E-08,0.00160941,0.00170095
1.29E-05,3.37E-05,0.00390428
3.75E-05,1.08E-07,0.00515004
0.000968975,0.00262368,0.010535
0.000340356,0.00191438,0.00108118
1.63E-05,7.27E-05,0.00399133
8.66E-05,4.25E-06,0.00566699
0.000546912,0.00344596,0.00809555
1.74E-06,0.00270018,0.00198435
4.09E-05,9.18E-05,0.004571
0.000111707,9.16E-06,0.00592976
0.00114389,0.00367123,0.00941942
3.63E-05,0.00156584,0.00128517
6.23E-05,0.000162411,0.00303964
9.24E-05,6.82E-07,0.00332854
0.00106997,0.00455856,0.00543077
5.53E-05,0.00231417,0.000212289
2.48E-05,1.91E-05,0.00345432
0.000113683,8.83E-05,0.0033624
0.000875206,0.0018458,0.00644941
0.000203284,0.000745825,3.24E-05
2.50E-05,4.44E-05,0.00179217
0.000100514,6.05E-05,0.00153482
0.000430268,0.00244258,0.0021282
7.73E-05,0.00130782,1.21E-05
7.93E-07,4.88E-06,0.00199239
2.92E-05,1.32E-05,0.0014926
0.000167341,0.00137336,0.00273648
0.000793618,0.00256176,0.000157289
2.23E-07,1.76E-05,0.00261869
0.000109209,7.44E-07,0.00319234
1.17E-05,0.00184893,0.00257836
3.66E-05,0.00355478,0.000334908
1.03E-06,1.63E-05,0.00287979
5.82E-05,1.16E-06,0.00324654
3.76E-05,0.00178411,0.00318053
0.000417524,0.00427353,8.00E-05
1.43E-08,3.91E-05,0.00303356
6.06E-05,2.09E-05,0.00327557
0.000203651,0.00226706,0.0037944
0.000718112,0.00555481,5.69E-06
5.77E-06,8.90E-06,0.00337358
5.71E-06,5.63E-05,0.00321206
9.56E-05,0.0014112,0.0044397
0.00205847,0.00657835,0.000140456
1.36E-05,2.47E-05,0.00100525
5.15E-07,0.000138195,0.000831522
1.75E-06,0.00179836,0.000636149
0.00202137,0.00816802,0.00133904
3.04E-07,8.14E-05,0.00108683
9.48E-06,0.000188311,0.000711349
0.000244167,0.00268427,0.000889835
0.00278856,0.00855344,0.00212398
4.49E-07,0.000136397,0.00090654
2.17E-06,0.000343265,0.000840083
2.47E-05,0.00314173,0.000355017
0.00131284,0.0103727,0.00104048
3.16E-07,0.000105177,0.000963786
1.76E-05,0.00030501,0.000730821
0.000118215,0.0023772,0.00052537
0.00220597,0.00895086,0.00175357
1.30E-06,0.000162389,0.00028877
1.88E-05,0.000500241,0.000278383
3.98E-06,0.00275203,1.30E-05
0.00115979,0.0108283,0.00154838
5.25E-06,2.88E-05,0.000283644
1.74E-05,0.000188199,0.000207989
2.14E-08,0.000870159,2.99E-11
0.00158285,0.00587997,0.00240293
1.20E-05,4.76E-05,0.000155426
1.50E-05,0.000314759,0.000145512
7.95E-05,0.00107076,0.000153741
0.000826785,0.00743921,0.00144382
5.46E-05,6.97E-06,0.000141114
1.89E-05,0.00010662,9.77E-05
0.000191605,3.79E-05,8.66E-05
0.00138136,0.00416063,0.00227649
7.78E-05,5.11E-06,0.000313323
2.77E-06,0.000189178,0.000346688
0.000605451,7.95E-05,0.000147705
0.000220188,0.00549641,0.000299206
7.72E-05,2.52E-05,0.000292244
1.06E-07,5.36E-05,0.000304483
0.000327878,7.83E-06,9.21E-05
0.000381574,0.00319983,0.00073368
8.36E-05,2.32E-05,0.000259944
9.32E-07,0.000107346,0.000207999
0.000384333,2.55E-05,0.000200635
0.000364709,0.00438489,0.000647725
1.21E-05,1.96E-06,0.00023743
2.00E-07,9.52E-05,0.000165387
6.55E-07,0.000508935,0.00014698
0.000546644,0.00422365,0.00123802
3.44E-05,6.54E-06,2.14E-05
7.49E-07,0.000174473,1.32E-06
0.000151217,0.000586884,0.00179939
0.00033177,0.00556103,0.00140539
3.63E-05,2.08E-08,4.47E-05
4.10E-06,0.000125036,9.34E-07
9.60E-05,0.000257604,0.00166452
0.000773574,0.00468582,0.00222091
4.10E-05,9.38E-07,1.84E-07
1.96E-06,0.000219084,8.08E-06
0.000250717,0.000297057,0.00134036
0.000298552,0.0060766,0.000968064
2.75E-05,5.30E-06,4.99E-06
5.07E-06,8.20E-06,1.08E-06
6.46E-05,5.29E-05,0.00126058
0.00028258,0.00204707,0.00165517
4.22E-05,3.69E-06,2.46E-07
1.97E-05,2.86E-05,5.23E-05
0.000213586,6.40E-05,0.00134659
5.51E-05,0.00299377,0.000595852
7.65E-06,1.48E-06,5.37E-06
2.81E-05,7.71E-06,3.31E-05
6.10E-06,0.00024519,0.00130091
0.000162069,0.00245716,0.00114813
2.44E-05,3.98E-06,6.52E-05
6.98E-05,3.00E-05,0.00010785
0.000150527,0.00025256,0.00213643
3.11E-06,0.0034689,0.00041367
